2026-05-19T17:46:58.908Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-19T17:46:58.910Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"mcp-test-client","version":"0.0.1"}} | SUCCESS | RESPONSE: null
2026-05-19T17:46:58.910Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{},"clientInfo":{"name":"mcp-test-client","version":"0.0.1"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-19T17:46:58.924Z | ping | {} | SUCCESS | RESPONSE: {"status":"pong"}
2026-05-19T17:46:58.924Z | ping | {} | SUCCESS | RESPONSE: {"pong":true}
2026-05-19T17:46:58.934Z | connection_pool_error | {"error":"Server requests authentication using unknown plugin auth_gssapi_client. See TODO: add plugins doco here on how to configure or author authentication plugins."} | Server requests authentication using unknown plugin auth_gssapi_client. See TODO: add plugins doco here on how to configure or author authentication plugins. | RESPONSE: null
2026-05-19T17:46:58.934Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-19T17:47:18.544Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-19T17:47:18.546Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true}},"clientInfo":{"name":"gemini-cli-mcp-client","version":"0.42.0"}} | SUCCESS | RESPONSE: null
2026-05-19T17:47:18.547Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true}},"clientInfo":{"name":"gemini-cli-mcp-client","version":"0.42.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-19T17:47:18.564Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"localhost","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
